sigma_noise,sigma_gp,lambda,beta0,ell0,beta1,ell1,beta2,ell2
64.8735309006124,96.45249724682373,1.2442654632663828,9.003976654515063e-07,3.366281641524787,-5.96055864893612e-07,7.729326631108182,1.3332244216454192e-06,12.342917051408241
63.63597080075432,112.8451474632781,1.1464394512796583,1.1716640507121196e-06,2.891861588723148,2.4031888079173407e-07,4.905504990505586,-1.1469561490541549e-06,4.819727491223674
62.2442235131592,104.14384678791959,1.1951584274577012,1.0719067503650862e-06,2.84841286775022,3.679554129256912e-07,4.02784789461774,-9.061269468646155e-07,4.746245078543372
60.68776034144285,94.25946491230644,1.469367627229836,-3.4418696750185804e-07,4.20546840830962,-9.994903814999558e-07,4.397183502960854,1.0152809514298365e-06,13.064955279928355
60.23768087598856,118.44977159902466,1.6719659315712756,1.5029341334138908e-07,3.9072752890931786,7.944279583616024e-07,4.268120836799417,-1.1353850546421e-06,3.844104024770444
60.14644438524885,129.30970289615462,1.8339810942046788,3.0479808431431367e-07,3.715767827691537,5.563514960009967e-07,3.9649635827219494,-8.981178872578042e-07,4.141678390655521
58.14917095162808,192.22665089824702,1.4609536647997683,-7.459381377257297e-07,4.5558912217088725,-7.752730544928609e-07,8.043728037403945,6.125192952091528e-07,7.532366086646332
59.04089159821034,198.02012515421086,1.5772801881231922,-8.123716379509931e-07,4.566209095873429,-9.830362797274736e-07,9.140736455522847,1.549872428816022e-07,5.860698325100005
60.25832708250809,72.22380981020382,1.515775614923267,8.094594173464894e-07,5.5178586485861425,1.5594369817566027e-06,7.5046610089437,1.017863897518574e-07,1.812674431441918
59.06828809390972,105.47919120187527,1.3986517581891384,1.2016884707422234e-06,5.414542643888589,-9.489233392159464e-08,8.672543136750669,1.7828409378579824e-07,3.92091774511611
58.28574414046659,104.00519020386123,1.6644961218954513,-1.313009117674918e-06,2.3493908563208183,-8.285239104982034e-08,2.706684508910932,-4.6663875503249794e-07,6.52381639830957
59.02344861263013,104.48173104700939,1.8479803498542118,-6.973993272789618e-07,2.32628761959205,4.2354671789976033e-07,3.13481636377388,-3.191682411475745e-07,6.282851328440995
60.35087704374076,105.31197776621948,1.9358598615620537,-6.127427527054044e-07,2.397842430263302,-7.49903592277455e-07,8.665223960011323,-3.473943537042705e-07,9.396291567632948
